Subject,Average Levenshtein Distance,Anagrams pronounced,Middle letter migrations,Exterior Migrations
5.1,0.5333333333333333,14,14,0
5.2,0.7833333333333333,21,19,2
5.3,0.38333333333333336,4,3,1
5.4,1.15,18,15,3
5.5,1.4333333333333333,17,13,4
5.7,0.65,18,17,1
5.8,0.6166666666666667,15,12,3
5.9,0.43333333333333335,10,10,0
5.10,0.6833333333333333,14,14,0
5.11,0.5166666666666667,8,7,1
5.12,0.7833333333333333,21,18,3
5.13,1.0833333333333333,27,24,3
5.14,1.2666666666666666,22,18,4
5.15,0.3333333333333333,7,5,2
5.16,0.7333333333333333,19,17,2
5.17,0.7333333333333333,13,12,1
5.18,1.0833333333333333,21,18,3
5.19,0.9166666666666666,18,17,1
4.1,0.9166666666666666,18,17,1
4.10,0.45,11,8,3
4.11,0.6833333333333333,16,14,2
4.12,0.23333333333333334,6,5,1
4.13,0.4,8,8,0
4.15,0.7333333333333333,12,10,2
4.16,1.0,22,20,2
4.17,0.95,18,16,2
4.19,1.3166666666666667,20,17,3
4.2,0.8833333333333333,17,15,2
4.20,1.15,23,20,3
4.22,0.6166666666666667,16,16,0
4.23,0.8666666666666667,22,21,1
4.3,1.1333333333333333,23,20,3
4.5,0.6,17,14,3
4.6,0.7833333333333333,14,13,1
4.7,0.2833333333333333,8,7,1
4.8,0.8,18,14,4
4.9,0.8333333333333334,17,16,1
3.10,0.8666666666666667,23,21,2
3.11,0.6333333333333333,16,14,2
3.12,0.8833333333333333,15,13,2
3.13,1.3,19,17,2
3.14,0.9833333333333333,25,22,3
3.15,0.85,19,16,3
3.16,0.8166666666666667,22,19,3
3.17,1.5166666666666666,22,18,4
3.18,1.4,22,18,4
3.19,0.5833333333333334,16,14,2
3.20,1.05,26,24,2
3.21,0.5666666666666667,15,14,1
3.25,0.7166666666666667,17,15,2
3.26,1.1333333333333333,28,25,3
3.27,1.0333333333333334,25,22,3
3.28,0.9166666666666666,25,23,2
3.29,1.0,25,22,3
3.3,0.95,17,15,2
3.30,1.1666666666666667,27,24,3
3.31,0.8666666666666667,19,15,4
3.32,1.1666666666666667,22,19,3
3.33,0.8666666666666667,23,20,3
3.35,0.9833333333333333,27,22,5
3.36,1.0833333333333333,23,18,5
3.37,0.3333333333333333,10,8,2
3.38,0.4,12,11,1
3.39,0.4666666666666667,13,12,1
3.4,0.7,15,12,3
3.40,0.55,14,12,2
3.41,0.8,19,16,3
3.42,1.3666666666666667,18,16,2
3.43,0.95,22,20,2
3.45,1.1333333333333333,21,15,6
3.46,0.9166666666666666,23,20,3
3.47,0.8,15,13,2
3.48,0.9833333333333333,20,17,3
3.49,0.85,14,13,1
3.5,1.3666666666666667,15,13,2
3.50,0.36666666666666664,9,7,2
3.51,0.7833333333333333,21,19,2
3.52,0.6833333333333333,13,11,2
3.53,0.3333333333333333,7,5,2
3.54,0.36666666666666664,11,9,2
3.55,0.23333333333333334,7,6,1
3.7,0.6333333333333333,16,14,2
3.9,1.3333333333333333,20,18,2
2.1,1.45,20,18,2
2.4,0.9333333333333333,24,20,4
2.5,1.2,25,24,1
2.7,0.9833333333333333,16,14,2
2.8,1.3166666666666667,26,21,5
